ID,RA,DEC,zml,X,Y,Z,PROB_GAL_GAIA,PROB_GAL,sigma_68,pdf_means_0,pdf_means_1,pdf_means_2,pdf_stds_0,pdf_stds_1,pdf_stds_2,pdf_weights_0,pdf_weights_1,pdf_weights_2,dis
iDR5_3_SPLUS-s27s37_0001943,59.40196889400037,-35.51030387531609,0.1204081624746322,149.67021361440447,253.0983597497005,-209.81701018574856,1.0,1.0,0.0264999978244304,0.1392647325992584,0.1135224401950836,0.181242361664772,0.0254286359995603,0.0191605389118194,0.0819692015647888,0.5057147741317749,0.4796574711799621,0.0149760264903306,361.22448742389656
iDR5_3_SPLUS-s27s37_0002039,59.15891524105393,-35.50674967700258,0.0618367381393909,77.4186623122131,129.6595343396674,-107.74412064741412,1.0,1.0,0.0089999977499246,0.0605462826788425,0.0659114494919776,0.0875503420829773,0.0075417994521558,0.0102406935766339,0.076810136437416,0.5446743965148926,0.4510758817195892,0.00405562389642,185.5102144181727
iDR5_3_SPLUS-s27s37_0004011,59.03257284807182,-35.440054367243,0.025755101814866,32.39085939101799,53.97692721803561,-44.80235464188476,1.0,1.0,0.0065000001341104,0.0257176160812377,-0.0851512029767036,0.035117994993925,0.0065738507546484,0.0695223063230514,0.0221018269658088,0.9673592448234558,0.0238490216434001,0.0085452683269977,77.265305444598
iDR5_3_SPLUS-s27s37_0005181,59.21850671748695,-35.38730476903263,0.0705918371677398,88.35695180592298,148.32907620678432,-122.63931462487054,1.0,0.9980000257492064,0.0254999995231628,0.0665341839194297,0.0984638929367065,0.1345245838165283,0.0163665134459733,0.0226507484912872,0.0959955155849456,0.5530922412872314,0.439839631319046,0.0075424937531352,211.77551150321935
iDR5_3_SPLUS-s27s37_0006982,58.47170121429479,-35.32620622480356,0.0765918344259262,98.03052671726395,159.79407114110575,-132.86328524556157,0.9869999885559082,0.9950000047683716,0.0179999992251396,0.0727283805608749,0.093387484550476,0.118914321064949,0.0119068156927824,0.0164463967084884,0.0930770635604858,0.5047346949577332,0.4906331300735473,0.0045674894936382,229.7755032777786
iDR5_3_SPLUS-s27s37_0006998,59.383129113082056,-35.33112885447325,0.0165918376296758,20.681462277028785,34.946953378116355,-28.785226263438147,1.0,0.9950000047683716,0.0065000001341104,0.0156042911112308,0.021073080599308,0.0566604807972908,0.005342373624444,0.0071959467604756,0.0713677704334259,0.6039400696754456,0.3914356827735901,0.004544798284769,49.7755128890274
iDR5_3_SPLUS-s27s37_0007423,59.7648162473309,-35.30522204876114,0.0808367356657981,99.65715265683016,170.98653058744384,-140.15441049043525,1.0,1.0,0.0144999958574771,0.0888451635837555,0.0775917768478393,0.1325960755348205,0.0150645775720477,0.0111890248954296,0.10801962018013,0.5188525915145874,0.4771774411201477,0.0038661633152514,242.5102069973943
iDR5_3_SPLUS-s27s37_0008381,59.34835499259668,-35.27917400282325,0.0769183635711669,96.03748173422824,162.0569492906452,-133.2751258823377,0.9829999804496764,1.0,0.0154999978840351,0.0739969983696937,0.0926579535007476,0.104512445628643,0.0096378754824399,0.0133307948708534,0.0744478553533554,0.5143992304801941,0.481396734714508,0.0042790826410055,230.7550907135007
iDR5_3_SPLUS-s27s37_0009429,58.77412001708516,-35.24359229707624,0.0486734695732593,61.82377297280366,101.97919825246308,-84.2616400379381,1.0,1.0,0.015999998897314,0.0472091101109981,0.0618800334632396,0.1551348268985748,0.0112190674990415,0.0195139236748218,0.1185846775770187,0.573481559753418,0.4187787175178528,0.0075630536302924,146.0204087197779
iDR5_3_SPLUS-s27s37_0009522,59.20786228767142,-35.23334386435555,0.0125918369740247,15.795644539984329,26.505709189911688,-21.792985553384693,1.0,0.9900000095367432,0.0045000002719461,0.0133596695959568,0.0110639110207557,0.0652515888214111,0.0043493146076798,0.0041655618697404,0.0529217086732387,0.6716427803039551,0.3232923150062561,0.0048940237611532,37.7755109220741
iDR5_3_SPLUS-s27s37_0010491,59.924788149598136,-35.20932905094863,0.0620816349983215,76.25872297444901,131.68447322636976,-107.38236036697596,1.0,1.0,0.0054999999701976,0.06236008182168,0.0598015189170837,0.0900264680385589,0.0050913356244564,0.0074393837712705,0.0583429001271724,0.6881260871887207,0.3042671680450439,0.0074905231595039,186.2449049949645
iDR5_3_SPLUS-s27s37_0010834,59.46438694170957,-35.18449218082336,0.0789183601737022,98.31235461754927,166.664285528348,-136.42091119558685,1.0,1.0,0.0200000014156103,0.0703633576631546,0.0916380435228347,0.0701215267181396,0.0163829661905765,0.017851997166872,0.0905087143182754,0.5022560358047485,0.4932210147380829,0.0047656968235969,236.7550805211066
iDR5_3_SPLUS-s27s37_0011168,59.049280713588765,-35.168404515115306,0.0515918359160423,65.07095883664279,108.5075546935319,-89.14784736156344,1.0,1.0,0.0115000028163194,0.0507424473762512,0.0568344891071319,0.1438332498073578,0.009378389455378,0.0147343100979924,0.1054423227906227,0.605993390083313,0.3861156404018402,0.0077111981809139,154.7755077481269
iDR5_3_SPLUS-s27s37_0012542,59.33056803156604,-35.11926800976988,0.0310816317796707,38.904241972002175,65.60191281026567,-53.64195651727783,1.0,1.0,0.0089999986812472,0.0291573517024517,0.0351433604955673,0.0946967154741287,0.0073894360102713,0.0089409947395324,0.0831689536571502,0.5283766984939575,0.4656611084938049,0.0064233099110424,93.2448953390121
iDR5_3_SPLUS-s27s37_0012810,58.946254265650914,-35.10260351861591,0.025755101814866,32.60769201223795,54.15318360332126,-44.43082885460315,1.0,0.9980000257492064,0.006000000052154,0.0256903134286403,0.0276855379343032,0.108744204044342,0.0058930348604917,0.0109134390950202,0.0880040079355239,0.8968034982681274,0.0921235382556915,0.0110199861228466,77.265305444598
iDR5_3_SPLUS-s27s37_0013063,59.406969059038,-35.09262834158302,0.0600000023841857,74.95633722831629,126.77943638916742,-103.48200130013235,1.0,1.0,0.0065000001341104,0.0599382296204566,0.0635213702917099,0.1207431852817535,0.0053956834599375,0.0126346480101346,0.0873040854930877,0.7630294561386108,0.23287433385849,0.0043493164703249,180.00000715255712
iDR5_3_SPLUS-s27s37_0013966,59.181916116987935,-35.05332695977934,0.0804897919297218,101.26968188504398,169.759627291541,-138.68518275846293,1.0,0.9980000257492064,0.0109999999403953,0.0794412866234779,0.0939929634332656,0.1130006164312362,0.0056538255885243,0.0092889834195375,0.0750014632940292,0.5054474472999573,0.4921709895133972,0.0023962394334375,241.4693757891654
iDR5_3_SPLUS-s27s37_0014379,59.74720150528261,-35.03925210739753,0.0514081642031669,63.61821635607822,109.0757145868424,-88.54606233875595,1.0,1.0,0.0085000004619359,0.0511126741766929,0.0548632331192493,0.1158199235796928,0.0072554307989776,0.0126946019008755,0.0892557352781295,0.6877191066741943,0.305253654718399,0.0071020317263901,154.22449260950071
